TargetID	200729890044_A.AVG_Signal	200729890044_A.Detection Pval	200729890044_B.AVG_Signal	200729890044_B.Detection Pval	200729890044_C.AVG_Signal	200729890044_C.Detection Pval	200729890044_D.AVG_Signal	200729890044_D.Detection Pval	200729890044_E.AVG_Signal	200729890044_E.Detection Pval	200729890044_F.AVG_Signal	200729890044_F.Detection Pval	200729890044_G.AVG_Signal	200729890044_G.Detection Pval	200729890044_H.AVG_Signal	200729890044_H.Detection Pval	200729890044_I.AVG_Signal	200729890044_I.Detection Pval	200729890044_J.AVG_Signal	200729890044_J.Detection Pval	200729890044_K.AVG_Signal	200729890044_K.Detection Pval	200729890044_L.AVG_Signal	200729890044_L.Detection Pval	200796240064_A.AVG_Signal	200796240064_A.Detection Pval	200796240064_B.AVG_Signal	200796240064_B.Detection Pval	200796240064_C.AVG_Signal	200796240064_C.Detection Pval	200796240064_D.AVG_Signal	200796240064_D.Detection Pval	200796240064_E.AVG_Signal	200796240064_E.Detection Pval	200796240064_F.AVG_Signal	200796240064_F.Detection Pval	200796240064_G.AVG_Signal	200796240064_G.Detection Pval	200796240064_H.AVG_Signal	200796240064_H.Detection Pval	200796240064_I.AVG_Signal	200796240064_I.Detection Pval	200796240064_J.AVG_Signal	200796240064_J.Detection Pval	200796240064_K.AVG_Signal	200796240064_K.Detection Pval	200796240064_L.AVG_Signal	200796240064_L.Detection Pval
ERCC-00095	96,08317	0,938961	97,56516	0,8714285	101,0915	0,9415584	96,71748	0,9285714	99,75179	0,951948	100,182	0,9493507	105,7586	0,8298701	107,9855	0,7805195	113,027	0,5883117	97,27216	0,9220779	98,17747	0,9818182	102,6191	0,7116883	97,7736	0,8974026	92,26485	0,9987013	109,0337	0,5766234	115,759	0,5662338	105,4644	0,8012987	103,2922	0,9935065	110,8913	0,7	102,5269	0,6961039	111,9749	0,8753247	93,26962	0,9818182	100,0802	0,8506494	94,08252	0,9935065
ERCC-00096	100,3381	0,8298701	104,2873	0,6545454	108,7251	0,7545455	106,3958	0,5662338	113,7055	0,5857143	114,0443	0,5181818	114,1385	0,5155844	114,304	0,5597402	116,0803	0,4506494	104,1233	0,6714286	107,757	0,7571428	107,7305	0,4493507	106,4176	0,5441558	108,3577	0,6324675	104,4077	0,7896104	111,124	0,7545455	112,3623	0,5051948	115,4523	0,7233766	97,96734	0,9896104	102,3336	0,7077922	117,6804	0,6545454	101,0576	0,8272727	112,044	0,3324675	103,7365	0,8
ERCC-00097	99,00065	0,864935	104,2326	0,6558442	99,8987	0,9571428	108,0302	0,4805195	107,9465	0,7818182	96,49866	0,9857143	104,8782	0,8597403	104,415	0,8779221	114,5097	0,5194805	95,6805	0,9545454	103,3351	0,9012987	96,34961	0,9376624	112,5502	0,2402597	109,7316	0,5688311	109,831	0,5376623	114,329	0,6233766	102,4928	0,9025974	119,1874	0,5545455	117,2834	0,4363636	98,99503	0,8571429	120,0564	0,5454546	105,36	0,6688312	102,4723	0,7532467	101,498	0,8779221
ERCC-00098	91,54044	0,987013	92,98043	0,9753247	109,6816	0,7181818	88,4886	0,9974026	103,4336	0,8987013	111,5519	0,6246753	108,9481	0,7285714	102,6364	0,9168831	103,6793	0,9246753	94,88679	0,9701298	101,4797	0,9311689	101,2627	0,7792208	96,1909	0,9415584	94,19563	0,9883117	97,77035	0,9623377	101,8361	0,9688312	97,55164	0,9792208	115,1891	0,7402598	108,937	0,7909091	91,44558	0,9805195	108,9663	0,9402598	115,699	0,2155844	95,63102	0,9571428	96,24282	0,9753247
ERCC-00099	94,92152	0,9571428	113,3438	0,2623377	110,5962	0,6779221	111,0963	0,3441558	116,234	0,474026	118,2163	0,3649351	111,6915	0,6103896	117,9589	0,4168831	108,7647	0,7584416	111,1719	0,3519481	112,5981	0,5441558	99,68179	0,8402597	107,5517	0,4987013	101,6366	0,8883117	107,7154	0,6506494	121,8586	0,3168831	117,1206	0,2844156	116,7435	0,6714286	114,067	0,5714286	102,4792	0,6974026	126,7703	0,2714286	108,804	0,5025974	112,4731	0,3155844	106,1094	0,7194805
ERCC-00104	102,0805	0,7714286	104,3648	0,6506494	113,1496	0,5714286	104,6269	0,6558442	99,49979	0,9558442	106,0899	0,8207792	93,1676	0,9961039	113,1092	0,6064935	103,7159	0,9233766	99,35474	0,861039	104,7426	0,8532467	99,12752	0,8584415	92,44068	0,9883117	107,4313	0,6935065	100,4361	0,9038961	104,9892	0,9415584	113,0754	0,4779221	107,8022	0,9441559	99,16879	0,9818182	91,28836	0,9844156	106,85	0,9610389	96,89678	0,938961	94,6726	0,9714286	102,7497	0,8311688
ERCC-00108	95,58215	0,9467533	92,95245	0,9766234	94,5667	0,9935065	97,50865	0,8961039	99,61098	0,951948	97,31198	0,9779221	103,1182	0,8987013	107,0045	0,8155844	112,0036	0,6246753	98,91409	0,8727273	104,8046	0,8506494	96,10621	0,9415584	95,07451	0,9597403	101,21	0,8987013	97,61012	0,9649351	108,6607	0,8363636	96,94089	0,9857143	110,2381	0,8909091	102,5224	0,9467533	97,98785	0,8844156	122,4659	0,448052	96,5101	0,9532468	113,5932	0,2805195	100,6212	0,9025974
ERCC-00109	86,75606	0,9974026	98,38181	0,851948	100,9521	0,9428571	98,12788	0,8792208	102,102	0,9246753	96,79488	0,9844156	101,0437	0,9402598	108,4067	0,761039	100,2806	0,9805195	99,5066	0,8532467	103,2155	0,9025974	96,12238	0,9402598	97,73328	0,9	103,2621	0,8207792	95,36154	0,9818182	113,3353	0,6714286	98,13486	0,9753247	101,3185	1	103,9376	0,9220779	98,04038	0,8818182	112,8978	0,8350649	103,6315	0,725974	96,16644	0,9506493	107,9829	0,6415585
ERCC-00111	95,78579	0,9428571	105,8608	0,5727273	107,6007	0,787013	96,05337	0,9376624	96,10203	0,9909091	93,98183	0,9961039	116,5993	0,4220779	106,8719	0,8220779	106,0368	0,861039	103,2783	0,725974	110,4575	0,6467533	103,6868	0,6597403	109,1822	0,3974026	103,143	0,8298701	108,5798	0,6025974	107,7138	0,874026	107,6015	0,738961	108,3343	0,925974	110,3391	0,7272727	96,85641	0,9116883	121,2887	0,4922078	113,6688	0,287013	108,3117	0,4922078	105,0484	0,761039
ERCC-00112	106,0102	0,6103896	98,00057	0,8636364	104,8365	0,8792208	95,35957	0,9558442	110,4133	0,7142857	107,5166	0,7727273	106,0254	0,8155844	107,459	0,8064935	109,6909	0,7272727	104,4059	0,6558442	104,8958	0,8493506	98,66634	0,8766234	108,0002	0,4701299	102,5541	0,8506494	111,5558	0,4688312	105,7118	0,9220779	108,4396	0,7012987	118,7242	0,5766234	109,5148	0,7675325	104,1034	0,6207792	117,0556	0,687013	111,676	0,3597403	109,4453	0,4402598	104,5495	0,7779221
ERCC-00113	97,03497	0,9051948	91,03851	0,9883117	105,6151	0,851948	94,03999	0,9727273	109,5389	0,7415584	101,5593	0,925974	90,74612	0,9987013	101,6875	0,9350649	104,26	0,9038961	97,44067	0,9168831	105,9244	0,8194805	95,55259	0,9467533	93,93812	0,974026	94,10257	0,9896104	90,08298	1	107,5782	0,8792208	112,4976	0,4987013	104,2008	0,9857143	101,916	0,951948	94,63701	0,9467533	105,5732	0,9727273	92,324	0,9883117	99,64129	0,8636364	93,25126	0,9961039
ERCC-00116	116,7861	0,1779221	101,5235	0,7519481	115,0136	0,5	103,9051	0,6883117	103,9429	0,8909091	115,6647	0,4649351	101,1876	0,9376624	117,6936	0,4272727	106,3436	0,8506494	99,48913	0,8545455	111,1559	0,6155844	106,2855	0,5194805	103,5059	0,6922078	99,51865	0,9233766	111,8844	0,4506494	103,826	0,9558442	99,40963	0,9610389	109,6055	0,9038961	109,1813	0,7831169	94,74582	0,9441559	113,8896	0,8	98,04035	0,9103896	100,0247	0,8506494	106,2692	0,7103896
ERCC-00117	97,65287	0,8922078	112,0384	0,325974	105,4847	0,8571429	104,6488	0,6532468	104,0784	0,8883117	113,0637	0,5558441	99,78573	0,9558442	102,1156	0,9272727	102,2428	0,9506493	97,72174	0,9090909	107,6258	0,7597402	95,97066	0,9428571	103,7813	0,6766234	96,15415	0,974026	102,6275	0,848052	104,3169	0,9493507	106,1227	0,7883117	108,2607	0,9285714	99,99155	0,9792208	96,76221	0,9155844	110,5089	0,9155844	100,3705	0,848052	95,08629	0,9675325	105,7632	0,7298701
ERCC-00120	97,33128	0,8987013	97,59293	0,8701299	116,7806	0,4246753	99,7585	0,8350649	104,3033	0,8844156	99,25578	0,9571428	109,2308	0,7142857	103,9982	0,887013	99,75607	0,9844156	97,24364	0,9233766	102,475	0,9181818	101,0315	0,7857143	100,3834	0,8090909	107,6587	0,6753247	101,5786	0,8753247	105,3285	0,9350649	99,01018	0,9623377	104,0246	0,9883117	109,0134	0,7883117	89,04821	0,9922078	106,7326	0,9610389	111,8772	0,3532467	90,31071	0,9961039	99,37395	0,9324675
ERCC-00123	97,15156	0,9038961	98,16592	0,8584415	108,0008	0,7753247	102,8564	0,7194805	95,43153	0,9922078	98,57278	0,9623377	103,5114	0,8896104	102,5983	0,9168831	104,0229	0,9142857	100,6929	0,8220779	104,0817	0,8779221	99,73783	0,8363636	94,91318	0,9610389	94,11154	0,9896104	104,7179	0,7792208	108,1579	0,8571429	97,53143	0,9792208	118,0295	0,6012987	114,7569	0,5493507	102,0715	0,7272727	99,75146	1	91,5258	0,9935065	99,26038	0,8766234	102,4979	0,8415585
ERCC-00126	110,5331	0,4168831	118,1494	0,1337662	110,4601	0,6818182	122,6637	0,04675325	119,2359	0,3792208	153,8763	0,001298701	130,6869	0,07012987	117,5763	0,4311688	127,1232	0,1103896	107,0362	0,5441558	117,7882	0,3142857	118,9367	0,1	119,1753	0,09350649	106,8709	0,7103896	124,652	0,08441558	130,662	0,1090909	123,1645	0,1402597	130,6305	0,1480519	127,3445	0,1194805	116,6869	0,1207792	133,1919	0,1181818	129,3083	0,01948052	106,6091	0,5584416	115,9567	0,3051948
ERCC-00130	106,9013	0,5779221	100,8961	0,7662337	128,6357	0,09740259	94,19888	0,9701298	136,0648	0,04155844	109,2188	0,7233766	105,7596	0,8298701	104,3126	0,8805195	117,5258	0,3987013	94,50307	0,974026	115,6852	0,4051948	104,9483	0,5896104	95,44267	0,9558442	107,2314	0,7	105,2254	0,761039	106,8212	0,8974026	106,8526	0,7662337	110,6151	0,8844156	109,6864	0,761039	101,5693	0,7532467	114,4717	0,7792208	109,2501	0,4805195	100,5427	0,8363636	99,31678	0,9337662
ERCC-00131	100,5131	0,8233766	98,61188	0,8454546	105,8975	0,8402597	102,4658	0,7402598	117,4277	0,425974	109,0881	0,7311688	105,5253	0,8363636	109,1083	0,7350649	115,1432	0,4909091	99,55741	0,8506494	112,471	0,5532467	92,38042	0,9844156	102,9162	0,7168831	104,3724	0,7909091	102,1438	0,864935	102,9668	0,9584416	109,5405	0,651948	107,904	0,9415584	104,0268	0,9181818	104,9779	0,587013	112,6674	0,848052	104,3404	0,7090909	99,59697	0,864935	99,57696	0,9272727
ERCC-00134	105,2113	0,6441559	106,826	0,5285714	104,7121	0,8805195	96,68784	0,9285714	102,8904	0,912987	125,1702	0,1714286	103,5412	0,8896104	100,4424	0,9623377	111,0175	0,6610389	102,0305	0,774026	110,4104	0,6493506	99,28548	0,8545455	105,4978	0,6	106,5429	0,7207792	104,5116	0,7844156	113,4372	0,6662338	112,4076	0,5012987	124,9014	0,3298701	110,7055	0,7077922	94,02329	0,9480519	110,3269	0,9194805	108,4128	0,5194805	107,7771	0,5142857	103,8406	0,7987013
ERCC-00136	110,9228	0,3935065	97,88718	0,864935	98,52182	0,9714286	100,7108	0,8051948	99,49643	0,9558442	104,6183	0,8584415	108,3533	0,7480519	108,2885	0,7623377	106,1184	0,8571429	111,7975	0,3233766	109,6883	0,6688312	102,2463	0,7376623	100,95	0,7831169	115,4268	0,325974	111,8581	0,451948	127,9299	0,1584416	108,3281	0,7077922	118,0021	0,6025974	112,698	0,6311688	110,0958	0,3480519	118,0791	0,6441559	109,6835	0,4428571	112,6474	0,3077922	105,1059	0,7597402
ERCC-00137	106,4233	0,5961039	121,9075	0,06493507	111,4456	0,6376624	100,4367	0,8168831	119,0405	0,3844156	112,2226	0,6	119,034	0,3155844	107,9341	0,7844156	125,2387	0,138961	109,6988	0,4090909	116,6065	0,3662338	118,9931	0,0987013	110,559	0,3311688	114,3534	0,374026	116,7503	0,2480519	120,8739	0,3480519	106,0684	0,7883117	122,2395	0,4467532	129,5055	0,08701298	109,3362	0,3766234	130,2381	0,1844156	109,2883	0,4805195	117,03	0,1701299	108,8911	0,5987013
ERCC-00138	102,4176	0,7571428	107,9859	0,4922078	101,6054	0,9337662	96,90525	0,9233766	107,8719	0,7844156	108,9026	0,7415584	103,7425	0,8883117	107,5038	0,8064935	103,9111	0,9168831	112,1663	0,3064935	115,1888	0,4207792	91,9788	0,9896104	98,87182	0,8584415	101,8017	0,8779221	96,50417	0,9727273	106,2759	0,9077922	101,8915	0,9207792	110,8574	0,8753247	107,5718	0,8298701	103,6585	0,6467533	110,1606	0,9233766	98,74238	0,8961039	97,58667	0,925974	103,0436	0,8194805
ERCC-00142	96,17917	0,9337662	100,5756	0,7792208	102,0673	0,9246753	93,95042	0,974026	104,1406	0,8857143	102,4597	0,9064935	97,1476	0,9779221	100,4348	0,9623377	96,40899	0,9922078	94,85212	0,9701298	102,7981	0,9116883	97,83368	0,8961039	98,5118	0,8766234	97,44236	0,9571428	101,0031	0,8961039	109,7022	0,7987013	106,6074	0,7714286	112,7792	0,8142857	106,7686	0,848052	93,38671	0,9532468	111,3955	0,8844156	103,0982	0,7506493	98,38387	0,9025974	93,37328	0,9948052
ERCC-00143	95,98959	0,9428571	99,79497	0,8064935	108,3982	0,7662337	98,71526	0,8688312	101,9693	0,9285714	108,86	0,7415584	112,6179	0,5649351	102,7281	0,9168831	104,0254	0,9142857	94,36857	0,9753247	100,5529	0,9558442	103,1507	0,6857143	102,4671	0,7376623	108,4344	0,6272727	100,1616	0,912987	111,3668	0,7441558	116,2349	0,3298701	112,938	0,8103896	111,2077	0,6883117	101,2995	0,7649351	118,1036	0,6441559	109,2468	0,4805195	94,1348	0,9753247	104,4847	0,7792208
ERCC-00144	105,5037	0,625974	104,683	0,6376624	112,8473	0,5844156	112,8845	0,2831169	119,1211	0,3844156	118,077	0,3727273	110,689	0,6558442	124,7823	0,1883117	118,0096	0,3766234	107,0797	0,5428572	114,2056	0,4610389	98,47688	0,8844156	101,4284	0,7714286	107,3158	0,6974026	118,9194	0,1831169	120,6297	0,3623376	113,4891	0,4649351	123,5798	0,3909091	119,8913	0,3298701	102,2183	0,7207792	119,3888	0,574026	106,6205	0,5922078	104,8304	0,6584415	121,5917	0,1324675
ERCC-00145	101,4301	0,7896104	90,63305	0,9909091	108,8305	0,7506493	111,1239	0,3441558	105,1691	0,8675325	103,836	0,8727273	107,2687	0,7766234	102,2856	0,9207792	106,7095	0,8415585	95,45164	0,9597403	104,3188	0,8675325	99,23899	0,8545455	107,9553	0,4727273	97,27564	0,9584416	102,1477	0,864935	113,2276	0,6753247	105,6157	0,7961039	115,4237	0,7246753	107,307	0,8376623	93,97607	0,9506493	115,0057	0,7623377	96,73351	0,9454545	91,49274	0,9935065	92,96954	0,9961039
ERCC-00147	99,57325	0,8545455	95,85428	0,9233766	91,4511	0,9987013	100,2468	0,8233766	101,4085	0,938961	107,7567	0,7688312	95,92918	0,9805195	112,0347	0,6376624	104,0806	0,9103896	93,6955	0,9792208	95,88548	0,9909091	90,47318	0,9961039	107,5418	0,4987013	103,0267	0,8311688	106,8557	0,687013	99,06606	0,9883117	101,3701	0,925974	103,5906	0,9896104	108,0704	0,8168831	103,5489	0,6545454	111,3179	0,8857143	99,41961	0,8805195	96,51631	0,9428571	96,85628	0,9623377
ERCC-00148	92,34544	0,9844156	89,39678	0,9935065	97,6121	0,9792208	100,5827	0,8090909	103,4794	0,8987013	98,86491	0,9584416	110,9415	0,648052	99,66307	0,9714286	105,6632	0,8753247	94,21852	0,9766234	98,41118	0,9818182	91,02641	0,9935065	103,0168	0,7116883	101,5932	0,8883117	108,2693	0,6233766	107,0125	0,8935065	104,531	0,8350649	102,8315	0,9948052	104,3719	0,9142857	98,97575	0,8584415	103,9196	0,9831169	97,08028	0,9376624	97,75673	0,925974	114,5046	0,3480519
ERCC-00150	104,9755	0,6558442	92,69427	0,9805195	108,352	0,7701299	95,34634	0,9558442	122,5086	0,2675325	106,8813	0,7935065	110,7058	0,6545454	103,5883	0,8935065	122,3697	0,2142857	100,3316	0,8311688	107,3894	0,7714286	109,5785	0,3519481	96,28188	0,9363636	106,9472	0,7090909	106,6674	0,6935065	107,4524	0,8805195	114,0236	0,4428571	121,8089	0,4610389	110,2786	0,7285714	106,6029	0,5103896	110,5775	0,912987	101,1388	0,8246753	102,4804	0,7532467	114,0829	0,3584416
ERCC-00154	99,18113	0,8636364	101,4103	0,7558442	106,7523	0,8155844	105,7692	0,6025974	107,0331	0,8064935	103,5946	0,8766234	108,0303	0,7558442	103,7052	0,8922078	100,6933	0,9779221	108,3179	0,4896104	115,9518	0,3909091	101,1131	0,7857143	102,9232	0,7155844	104,4971	0,7883117	106,1518	0,7168831	110,4062	0,774026	104,9262	0,8246753	108,8384	0,9207792	102,8936	0,9441559	97,04908	0,9064935	107,7532	0,9558442	100,6623	0,8350649	91,9931	0,9935065	103,4968	0,8077922
ERCC-00156	111,0364	0,3909091	95,52402	0,9272727	109,8557	0,7064935	94,78144	0,9610389	111,6078	0,674026	95,63715	0,9909091	105,244	0,8441558	96,96928	0,9935065	102,0913	0,951948	102,7395	0,7467533	107,5779	0,7597402	100,2648	0,8116883	113,4938	0,2142857	99,75301	0,9194805	96,96078	0,9714286	108,531	0,8415585	106,1079	0,7883117	111,6142	0,8493506	110,6542	0,7077922	100,9198	0,7818182	110,4116	0,9168831	111,1907	0,3675325	101,2457	0,8077922	99,25662	0,9337662
ERCC-00157	107,3831	0,548052	108,098	0,4831169	112,5184	0,5935065	126,9596	0,02467532	123,3583	0,2428571	111,9364	0,6090909	124,1079	0,1662338	119,2584	0,3636364	119,943	0,2987013	116,755	0,1467533	115,5	0,4077922	109,6874	0,3480519	120,0831	0,08311688	131,9492	0,02077922	111,0006	0,4935065	120,8283	0,3545454	121,9632	0,1571429	135,7608	0,07142857	112,6109	0,635065	104,7222	0,5922078	132,9263	0,1233766	108,4509	0,5194805	113,9847	0,2623377	117,8976	0,225974
ERCC-00158	93,95756	0,9662338	87,00024	0,9987013	105,2487	0,8662338	94,80419	0,9610389	106,5159	0,8246753	118,1951	0,3649351	99,16629	0,9597403	109,5507	0,7207792	96,61854	0,9922078	97,22729	0,9246753	107,2349	0,7792208	96,15539	0,9402598	101,2067	0,7792208	100,2166	0,9181818	98,55767	0,9467533	102,6468	0,9597403	91,64476	0,9987013	113,2891	0,7987013	106,2164	0,8675325	99,99205	0,8324676	107,6906	0,9571428	99,01105	0,8857143	104,4332	0,674026	102,3697	0,848052
ERCC-00160	102,8418	0,7272727	108,9573	0,4701299	108,0071	0,7753247	98,27358	0,8753247	105,0395	0,8714285	112,6255	0,574026	109,4972	0,7051948	120,143	0,325974	101,9352	0,9545454	99,62163	0,8506494	107,5568	0,761039	107,0262	0,4818182	109,1587	0,3974026	99,4571	0,9233766	108,3157	0,6194805	108,2119	0,8532467	111,3481	0,5662338	113,4827	0,7935065	111,8231	0,6636364	102,0659	0,7272727	118,9989	0,5909091	105,0078	0,687013	110,0785	0,4142857	95,17849	0,9844156
ERCC-00162	103,768	0,7	99,6977	0,8103896	102,2203	0,9233766	97,62049	0,8922078	109,2796	0,7519481	103,7693	0,8727273	111,8376	0,6064935	111,9417	0,6415585	109,1103	0,7467533	97,89532	0,9051948	109,5132	0,6766234	109,3544	0,3675325	95,1636	0,9584416	103,792	0,8103896	103,4834	0,8168831	114,8622	0,6077922	102,6024	0,8974026	116,4765	0,6844156	108,7394	0,7974026	102,3988	0,7051948	114,4627	0,7792208	103,1991	0,7467533	104,0651	0,6857143	109,3817	0,5779221
ERCC-00163	96,27763	0,9311689	100,7217	0,7714286	106,0847	0,8350649	109,9518	0,3909091	109,9848	0,7350649	101,3044	0,9350649	115,3011	0,474026	109,2042	0,7311688	112,0844	0,6220779	106,4125	0,5766234	104,1239	0,8766234	117,3018	0,1246753	106,4227	0,5441558	100,961	0,9025974	111,4989	0,4714286	100,2201	0,9766234	120,1848	0,1922078	128,382	0,2051948	107,9856	0,8168831	93,98985	0,9506493	125,4383	0,3194805	112,918	0,3142857	112,1006	0,3298701	100,3282	0,9103896
ERCC-00164	103,4217	0,7116883	107,7768	0,4961039	108,3888	0,7662337	104,6162	0,6558442	110,1756	0,7285714	104,276	0,8688312	110,1984	0,6753247	107,9945	0,7805195	115,4191	0,4805195	113,098	0,2766234	116,3713	0,3766234	103,8403	0,6493506	108,3495	0,4454545	108,0902	0,6493506	101,7559	0,874026	116,8622	0,5116883	112,0421	0,5233766	114,3707	0,7688312	106,5446	0,8571429	96,65923	0,9168831	125,8943	0,2987013	116,9594	0,1779221	105,0476	0,6506494	113,0877	0,4064935
ERCC-00165	99,66646	0,8545455	99,09889	0,8298701	102,8872	0,9155844	103,5508	0,7025974	105,7474	0,848052	108,8898	0,7415584	107,6815	0,7636364	106,375	0,8337662	98,15005	0,9896104	99,39318	0,8597403	108,2301	0,7324675	97,5451	0,9090909	101,0017	0,7831169	107,6969	0,6727273	97,01053	0,9714286	100,2996	0,9766234	106,1801	0,7857143	105,9295	0,9675325	103,2985	0,9337662	99,49182	0,8467532	112,0251	0,8727273	94,54665	0,9727273	99,12308	0,8818182	101,5181	0,8779221
ERCC-00168	95,55728	0,9467533	95,48716	0,9272727	101,2491	0,938961	95,2526	0,9558442	117,7485	0,4155844	100,7765	0,9415584	104,0534	0,887013	109,309	0,725974	103,4578	0,9285714	98,96092	0,8714285	102,8394	0,9116883	101,9509	0,7506493	100,8077	0,7922078	100,0889	0,9181818	108,5466	0,6064935	104,3126	0,9493507	105,9678	0,7896104	113,4098	0,7948052	97,19405	0,9909091	102,553	0,6948052	112,0491	0,8727273	103,5896	0,7285714	104,5217	0,6675324	98,49221	0,9415584
ERCC-00170	93,21048	0,974026	110,8541	0,3779221	108,1856	0,774026	105,6425	0,612987	110,9253	0,6974026	111,7527	0,6116883	110,7139	0,6532468	108,691	0,7467533	119,7165	0,3051948	111,191	0,3493507	126,1146	0,0961039	105,2605	0,5727273	104,4533	0,6454545	106,2294	0,7298701	106,882	0,687013	123,9441	0,2545455	117,212	0,2818182	121,3044	0,4857143	107,8338	0,8220779	102,6822	0,6896104	119,3971	0,5727273	104,5957	0,6987013	112,7103	0,3077922	108,1305	0,6363636
ERCC-00171	108,074	0,5285714	102,0613	0,7298701	103,8111	0,8922078	104,9753	0,635065	102,7524	0,9155844	113,4751	0,5363637	125,7861	0,1376623	111,4943	0,6623377	123,492	0,1883117	113,1455	0,274026	119,5151	0,2493507	103,4107	0,6766234	114,3764	0,1896104	118,1954	0,2454545	107,2126	0,6714286	121,2078	0,3415585	122,8574	0,1454545	117,8076	0,6077922	121,5087	0,2714286	117,7687	0,0987013	122,7881	0,4337662	102,279	0,7922078	107,0688	0,5454546	117,2315	0,2558441
HOUSEKEEPING	12622,93	2,298749E-06	8207,683	2,298749E-06	13540,01	2,298749E-06	10451,29	2,298749E-06	10970,87	2,298749E-06	10175,55	2,298749E-06	14250,38	2,298749E-06	14827,25	2,298749E-06	12011,35	2,298749E-06	11204,64	2,298749E-06	13739,03	2,298749E-06	10727,54	2,298749E-06	9408,041	2,298749E-06	8983,521	2,298749E-06	13543,67	2,298749E-06	14747,7	2,298749E-06	11642,67	2,298749E-06	13642,24	2,298749E-06	13188,69	2,298749E-06	12666,34	2,298749E-06	10630,8	2,298749E-06	9467,433	2,298749E-06	12702,29	2,298749E-06	12426,68	2,298749E-06
LABELING	102,7973	0,8367347	101,9398	0,8568528	107,4296	0,9131042	106,9645	0,5579558	107,7369	0,8851737	110,2249	0,7866343	109,6254	0,7991702	110,2566	0,8160828	110,3322	0,8097276	104,7827	0,755	108,5276	0,8389534	107,8811	0,3853736	109,1019	0,3411165	104,0006	0,8254132	102,877	0,947293	113,6925	0,7568148	109,7717	0,7383631	111,9266	0,9380663	120,9421	0,1942992	106,0543	0,5832273	113,7593	0,9235951	106,7246	0,6810381	99,78081	0,9620982	104,5751	0,8943195
LOW_STRINGENCY_HYB	13218,65	4,823677E-07	13387,5	4,823677E-07	14847,9	4,823677E-07	14890,58	4,823677E-07	15716,21	4,823677E-07	16498,52	4,823677E-07	16337,86	4,823677E-07	17313,63	4,823677E-07	14769,85	4,823677E-07	13053,64	4,823677E-07	15643,3	4,823677E-07	15151,58	4,823677E-07	14609,89	4,823677E-07	14107,91	4,823677E-07	15393,41	4,823677E-07	16608,95	4,823677E-07	14505,07	4,823677E-07	16831,57	4,823677E-07	16014,98	4,823677E-07	15244,02	4,823677E-07	16532,49	4,823677E-07	13899	4,823677E-07	15327,85	4,823677E-07	15081,17	4,823677E-07
NEGATIVE	109,1692	0,5248854	108,2057	0,5248854	115,8014	0,5248854	108,4064	0,5248854	116,4629	0,5248854	115,5098	0,5248854	115,4756	0,5248854	116,3476	0,5248854	115,7334	0,5248854	108,4644	0,5248854	114,1655	0,5248854	107,6092	0,5248854	107,8312	0,5248854	111,9132	0,5248854	111,5596	0,5248854	118,2097	0,5248854	113,3783	0,5248854	121,3821	0,52495	116,4636	0,5248854	107,3964	0,5248854	122,0232	0,5248854	109,245	0,5248854	108,8781	0,5248854	111,7043	0,52495
