TargetID	200729890044_A.AVG_Signal	200729890044_A.Detection Pval	200729890044_B.AVG_Signal	200729890044_B.Detection Pval	200729890044_C.AVG_Signal	200729890044_C.Detection Pval	200729890044_D.AVG_Signal	200729890044_D.Detection Pval	200729890044_E.AVG_Signal	200729890044_E.Detection Pval	200729890044_F.AVG_Signal	200729890044_F.Detection Pval	200729890044_G.AVG_Signal	200729890044_G.Detection Pval	200729890044_H.AVG_Signal	200729890044_H.Detection Pval	200729890044_I.AVG_Signal	200729890044_I.Detection Pval	200729890044_J.AVG_Signal	200729890044_J.Detection Pval	200729890044_K.AVG_Signal	200729890044_K.Detection Pval	200729890044_L.AVG_Signal	200729890044_L.Detection Pval	200796240064_A.AVG_Signal	200796240064_A.Detection Pval	200796240064_B.AVG_Signal	200796240064_B.Detection Pval	200796240064_C.AVG_Signal	200796240064_C.Detection Pval	200796240064_D.AVG_Signal	200796240064_D.Detection Pval	200796240064_E.AVG_Signal	200796240064_E.Detection Pval	200796240064_F.AVG_Signal	200796240064_F.Detection Pval	200796240064_G.AVG_Signal	200796240064_G.Detection Pval	200796240064_H.AVG_Signal	200796240064_H.Detection Pval	200796240064_I.AVG_Signal	200796240064_I.Detection Pval	200796240064_J.AVG_Signal	200796240064_J.Detection Pval	200796240064_K.AVG_Signal	200796240064_K.Detection Pval	200796240064_L.AVG_Signal	200796240064_L.Detection Pval
ERCC-00042	91,52242	0,987013	107,1271	0,525974	107,6284	0,787013	93,70665	0,9779221	107,5406	0,7896104	107,6406	0,7714286	105,3007	0,8415585	110,5314	0,6922078	104,4883	0,9012987	109,4216	0,4233766	100,9038	0,9441559	101,336	0,7766234	98,47227	0,8766234	101,3215	0,8935065	98,13066	0,9545454	109,6782	0,7987013	108,9672	0,6714286	109,6335	0,9012987	114,0853	0,5714286	86,45947	0,9987013	109,9581	0,925974	96,02544	0,9597403	97,12855	0,9350649	105,2269	0,7532467
ERCC-00043	91,61107	0,987013	92,77949	0,9779221	102,9298	0,9155844	94,19183	0,9714286	99,75134	0,951948	94,85436	0,9948052	105,3815	0,8389611	108,6048	0,7519481	106,2489	0,8545455	101,9189	0,774026	100,3144	0,9623377	95,12778	0,9545454	95,48958	0,9558442	110,8359	0,5155844	104,8618	0,774026	99,2048	0,987013	101,384	0,9246753	112,6193	0,8181818	105,0254	0,9064935	89,38543	0,9922078	103,7265	0,9857143	102,64	0,7714286	93,96008	0,9766234	94,40572	0,9922078
ERCC-00044	100,1121	0,8363636	92,38592	0,9818182	102,173	0,9246753	103,147	0,712987	116,4188	0,4675325	105,0066	0,8506494	103,8145	0,8883117	118,9716	0,3792208	108,633	0,7649351	104,4771	0,6545454	103,2308	0,9025974	103,6365	0,6649351	100,7866	0,7948052	101,1399	0,9	113,1201	0,3909091	111,0602	0,7545455	101,9797	0,9142857	101,7574	0,9987013	113,707	0,587013	104,0782	0,6207792	106,5976	0,9610389	99,56551	0,8727273	99,69354	0,8636364	101,3246	0,8831169
ERCC-00046	103,4486	0,7103896	93,92303	0,9623377	110,1612	0,6935065	92,95013	0,9818182	95,79287	0,9909091	100,9911	0,938961	102,4314	0,9103896	100,8113	0,9506493	100,0998	0,9818182	106,3752	0,5766234	99,62346	0,9753247	91,036	0,9935065	93,22602	0,9818182	99,90433	0,9181818	94,98104	0,9896104	105,5783	0,925974	103,4491	0,8662338	110,9845	0,8688312	97,14358	0,9909091	94,85081	0,9428571	116,5063	0,7194805	99,01597	0,8857143	99,2542	0,8779221	111,3494	0,4961039
ERCC-00048	93,85088	0,9662338	98,4985	0,8506494	104,6572	0,8805195	98,62037	0,8714285	112,2407	0,6467533	123,1435	0,2142857	101,2355	0,9363636	108,2276	0,7675325	100,3932	0,9805195	102,2424	0,7636364	108,2772	0,7285714	101,679	0,7649351	100,5288	0,8025974	106,2852	0,7272727	102,5707	0,8506494	114,6671	0,6142857	110,3565	0,6194805	113,8295	0,7857143	108,8668	0,7935065	97,24672	0,9051948	109,1765	0,9363636	95,88953	0,9623377	100,0967	0,8506494	101,8145	0,8701299
ERCC-00051	104,082	0,6922078	112,9574	0,2805195	117,9516	0,3818182	104,0774	0,6792208	126,3069	0,1558442	99,79776	0,9532468	126,4713	0,125974	129,5714	0,1064935	112,6288	0,5987013	111,9289	0,3181818	116,5455	0,3662338	120,4247	0,07792208	107,9024	0,4766234	117,1255	0,2766234	107,5039	0,6545454	132,033	0,09350649	110,9706	0,587013	116,024	0,7038961	120,279	0,3181818	104,9265	0,587013	122,3415	0,451948	110,5569	0,4051948	118,0326	0,1402597	113,4593	0,3922078
ERCC-00053	99,7115	0,8506494	93,65366	0,9688312	107,2903	0,7974026	99,3972	0,8493506	106,2431	0,8311688	96,98167	0,9831169	102,5272	0,9077922	116,8588	0,4584416	105,3537	0,8844156	104,0284	0,6844156	106,6421	0,8012987	102,7692	0,7051948	98,06796	0,8896104	111,1675	0,5038961	105,1282	0,7675325	117,801	0,474026	104,8359	0,8272727	123,8692	0,3753247	109,9694	0,7415584	100,0019	0,8298701	122,004	0,4636364	100,7686	0,8337662	105,3058	0,635065	102,9645	0,8220779
ERCC-00054	95,71922	0,9428571	98,78015	0,8402597	98,44092	0,974026	100,0049	0,8311688	95,62493	0,9909091	102,4106	0,9064935	96,47051	0,9805195	105,1673	0,8623376	111,0797	0,6571429	99,84068	0,8441558	104,9215	0,8493506	99,14864	0,8571429	95,40541	0,9558442	103,9371	0,8064935	111,2296	0,4805195	97,22133	0,9948052	104,0435	0,8532467	114,0497	0,7792208	99,59247	0,9792208	106,0922	0,5311688	109,7042	0,9285714	97,56615	0,9285714	102,9838	0,7311688	108,2082	0,6337662
ERCC-00057	99,62612	0,8545455	101,0901	0,7662337	100,8047	0,9467533	98,80912	0,8675325	114,5768	0,5467532	103,9905	0,8727273	98,83955	0,9662338	97,19995	0,9935065	101,3982	0,9688312	103,7645	0,6987013	106,8104	0,8	101,3852	0,7766234	99,48572	0,8415585	105,5276	0,7571428	107,684	0,6532468	109,7333	0,7987013	102,1039	0,912987	110,231	0,8922078	104,5254	0,9142857	93,80276	0,9532468	108,5123	0,9493507	103,0113	0,7519481	98,32287	0,9051948	101,7692	0,8701299
ERCC-00058	104,9833	0,6558442	109,7654	0,4233766	113,6772	0,5558441	108,4198	0,4597403	110,3708	0,7155844	122,5279	0,2324675	118,7781	0,3272727	116,4596	0,474026	128,047	0,0987013	108,0268	0,5064935	117,2304	0,3337662	109,3105	0,3701299	117,9705	0,1155844	105,002	0,7714286	116,0367	0,2701299	113,7672	0,651948	112,3013	0,5090909	135,5698	0,07142857	125,1659	0,1714286	106,0639	0,5324675	128,1678	0,2363636	105,0156	0,687013	119,0311	0,1181818	112,4095	0,4415585
