TargetID	ProbeID	200729890044_A.AVG_Signal	200729890044_A.Detection Pval	200729890044_B.AVG_Signal	200729890044_B.Detection Pval	200729890044_C.AVG_Signal	200729890044_C.Detection Pval	200729890044_D.AVG_Signal	200729890044_D.Detection Pval	200729890044_E.AVG_Signal	200729890044_E.Detection Pval	200729890044_F.AVG_Signal	200729890044_F.Detection Pval	200729890044_G.AVG_Signal	200729890044_G.Detection Pval	200729890044_H.AVG_Signal	200729890044_H.Detection Pval	200729890044_I.AVG_Signal	200729890044_I.Detection Pval	200729890044_J.AVG_Signal	200729890044_J.Detection Pval	200729890044_K.AVG_Signal	200729890044_K.Detection Pval	200729890044_L.AVG_Signal	200729890044_L.Detection Pval	200796240064_A.AVG_Signal	200796240064_A.Detection Pval	200796240064_B.AVG_Signal	200796240064_B.Detection Pval	200796240064_C.AVG_Signal	200796240064_C.Detection Pval	200796240064_D.AVG_Signal	200796240064_D.Detection Pval	200796240064_E.AVG_Signal	200796240064_E.Detection Pval	200796240064_F.AVG_Signal	200796240064_F.Detection Pval	200796240064_G.AVG_Signal	200796240064_G.Detection Pval	200796240064_H.AVG_Signal	200796240064_H.Detection Pval	200796240064_I.AVG_Signal	200796240064_I.Detection Pval	200796240064_J.AVG_Signal	200796240064_J.Detection Pval	200796240064_K.AVG_Signal	200796240064_K.Detection Pval	200796240064_L.AVG_Signal	200796240064_L.Detection Pval
NEGATIVE	630373	106,5104	0,5922078	98,15141	0,8597403	116,6347	0,4324675	93,9451	0,9753247	111,9439	0,6584415	121,6353	0,2506494	111,1867	0,6324675	111,6942	0,6493506	107,5718	0,8	115,0223	0,2168831	106,9462	0,7922078	112,3461	0,2597403	103,6913	0,6844156	103,9647	0,8051948	109,5999	0,5571429	113,7907	0,651948	108,6623	0,6909091	118,4985	0,5896104	103,8956	0,9246753	102,452	0,7038961	112,2177	0,8675325	98,72468	0,8974026	106,5816	0,561039	106,5348	0,7038961
NEGATIVE	630435	101,9072	0,7766234	93,77828	0,9662338	116,7419	0,4272727	97,43941	0,9	119,4019	0,3727273	113,3555	0,5402597	106,4328	0,8025974	114,0772	0,5714286	110,4614	0,6935065	97,41031	0,9181818	110,6733	0,6363636	102,3803	0,7285714	108,2497	0,4545455	111,4877	0,4909091	104,8082	0,7779221	111,6069	0,7337663	107,7751	0,7324675	123,9649	0,3688312	111,6132	0,6714286	92,25723	0,9662338	116,5891	0,712987	84,77734	1	110,2256	0,4064935	110,4241	0,5402597
NEGATIVE	650408	103,7362	0,7025974	115,5687	0,1948052	116,4178	0,4350649	114,2931	0,2272727	116,8164	0,4441558	104,7324	0,8558441	123,1769	0,187013	112,342	0,6246753	129,3586	0,08441558	118,7314	0,1038961	115,3036	0,4090909	121,5698	0,06233766	125,8903	0,02857143	109,8597	0,5597402	117,8005	0,2181818	132,0631	0,09350649	117,8003	0,2636364	126,3262	0,2753247	149,8314	0,002597403	124,162	0,03376623	130,5555	0,1753247	116,6286	0,1831169	121,7213	0,06623377	131,5564	0,02337662
NEGATIVE	650463	100,0091	0,8389611	104,3724	0,6506494	120,3562	0,2792208	98,94335	0,8623376	99,58974	0,9532468	122,9033	0,2207792	122,1488	0,2142857	111,6703	0,6506494	113,409	0,5597402	116,1655	0,1662338	100,3965	0,9597403	111,1185	0,2974026	113,6308	0,2103896	107,022	0,7077922	119,8213	0,161039	113,9028	0,6441559	123,3823	0,1402597	129,5078	0,1753247	118,9621	0,3649351	120,8386	0,05974026	120,2663	0,5376623	117,8664	0,1532468	123,6022	0,04675325	107,232	0,6753247
NEGATIVE	650707	96,88165	0,912987	88,37946	0,9987013	106,7162	0,8181818	93,99458	0,974026	92,84193	0,9974026	103,2021	0,8857143	106,3941	0,8077922	106,6861	0,825974	103,8637	0,9181818	100,8288	0,8194805	104,408	0,864935	96,82651	0,9272727	99,84545	0,8324676	97,6271	0,9558442	102,5056	0,8532467	110,2468	0,7831169	103,0918	0,8818182	110,8328	0,8766234	115,683	0,5064935	88,54623	0,9948052	114,1362	0,7935065	102,7494	0,7649351	91,23449	0,9948052	93,35671	0,9961039
NEGATIVE	670142	97,66523	0,8922078	97,15099	0,8922078	107,4537	0,7935065	105,0759	0,6311688	120,7042	0,3168831	113,7782	0,5272727	119,7333	0,2935065	112,9243	0,6142857	114,876	0,5090909	102,2356	0,7662337	104,3905	0,8662338	105,5866	0,5545455	98,87025	0,8597403	114,4937	0,3662338	102,3709	0,8571429	123,9804	0,2519481	110,4674	0,6116883	117,5289	0,6272727	103,3078	0,9324675	111,935	0,2688312	112,5135	0,8545455	106,7227	0,5818182	109,0862	0,4623377	114,176	0,3584416
NEGATIVE	670154	95,31402	0,9493507	101,8178	0,738961	103,9555	0,8909091	106,524	0,5584416	110,2346	0,7272727	115,5655	0,4701299	135,2212	0,04805195	115,8272	0,5	108,934	0,7545455	108,4704	0,4857143	113,5039	0,5064935	115,2772	0,1649351	108,7974	0,4181818	111,2855	0,5012987	100,4265	0,9064935	119,2639	0,4246753	104,3583	0,8428571	125,2428	0,3194805	129,9798	0,08181818	104,1388	0,6181818	131,7859	0,1493506	106,6295	0,5909091	107,7973	0,512987	110,8081	0,5220779
NEGATIVE	670521	117,2136	0,1688312	108,004	0,4922078	127,6122	0,1194805	113,1861	0,2714286	124,3694	0,2051948	111,3592	0,6311688	107,4051	0,7701299	127,7479	0,1324675	114,9281	0,5051948	104,5281	0,651948	117,341	0,3285714	108,5021	0,4064935	107,9378	0,4753247	121,3482	0,1454545	106,3078	0,712987	114,8707	0,6077922	116,0486	0,3376623	123,5422	0,3961039	124,6553	0,1883117	105,2979	0,5714286	123,8646	0,3909091	100,4331	0,8454546	101,7218	0,7909091	121,044	0,1402597
NEGATIVE	730154	107,8796	0,5376623	115,4112	0,2	122,2671	0,2194805	110,1436	0,387013	112,938	0,6272727	120,1473	0,2935065	109,1837	0,7181818	133,8193	0,04675325	115,6635	0,4714286	115,048	0,2155844	115,2202	0,4168831	100,8159	0,7974026	98,89732	0,8584415	113,3858	0,4051948	113,2464	0,3792208	125,7932	0,2025974	119,6894	0,2012987	122,7503	0,4246753	105,2576	0,9025974	118,1606	0,09350649	113,8143	0,8051948	106,2256	0,6155844	119,4966	0,1012987	114,647	0,3467532
NEGATIVE	730201	110,6433	0,412987	100,4045	0,787013	115,518	0,4649351	99,47963	0,8441558	113,9775	0,5792208	111,6423	0,6181818	101,3527	0,9324675	115,8547	0,4987013	119,9594	0,2974026	106,8515	0,5545455	107,9254	0,7467533	100,4441	0,8064935	111,0571	0,3012987	111,3914	0,4935065	115,4545	0,2909091	113,0351	0,6818182	103,0933	0,8805195	131,4024	0,1298701	123,1979	0,2207792	109,0099	0,3961039	119,0695	0,5883117	110,0569	0,4311688	110,4885	0,3948052	112,4921	0,4363636
