Date	Beadchip	Section	FocusGrn	RegGrn	P05Grn	P95Grn	FocusRed	RegRed	P05Red	P95Red
10/21/2016 11:45:44 AM	200729890044	A	0.66	0.97	97.01	957.46	0.00	0.00	0.00	0.00
10/21/2016 11:46:12 AM	200729890044	B	0.49	0.97	96.71	914.37	0.00	0.00	0.00	0.00
10/21/2016 11:46:44 AM	200729890044	C	0.50	0.97	103.06	964.62	0.00	0.00	0.00	0.00
10/21/2016 11:47:16 AM	200729890044	D	0.69	0.97	97.36	678.45	0.00	0.00	0.00	0.00
10/21/2016 11:47:49 AM	200729890044	E	0.71	0.97	104.40	1349.03	0.00	0.00	0.00	0.00
10/21/2016 11:48:21 AM	200729890044	F	0.71	0.97	103.12	1180.22	0.00	0.00	0.00	0.00
10/21/2016 11:48:55 AM	200729890044	G	0.66	0.97	102.49	1014.03	0.00	0.00	0.00	0.00
10/21/2016 11:49:27 AM	200729890044	H	0.47	0.98	103.26	999.57	0.00	0.00	0.00	0.00
10/21/2016 11:49:59 AM	200729890044	I	0.74	0.97	104.61	1239.48	0.00	0.00	0.00	0.00
10/21/2016 11:50:32 AM	200729890044	J	0.73	0.97	98.34	892.96	0.00	0.00	0.00	0.00
10/21/2016 11:51:03 AM	200729890044	K	0.51	0.97	103.29	1054.10	0.00	0.00	0.00	0.00
10/21/2016 11:51:36 AM	200729890044	L	0.66	0.97	97.27	769.07	0.00	0.00	0.00	0.00
